ID_Venda,Data_Venda,Produto,Categoria,Preco,Quantidade,Canal_Venda,Regiao,Tipo_Cliente,Desconto,Avaliacao_Cliente,Tempo_Entrega_Dias,Forma_Pagamento,Campanha_Marketing,Custo_Frete,Venda_Sucesso
41,13/02/2026,Vinho Rose Premium,Rose,157,6,Loja Fisica,Sudeste,Recorrente,5,1,8,Cartao de Credito,Sim,21.02,Sim
42,31/05/2025,Espumante Brut,Espumante,76,1,Loja Fisica,Sudeste,Recorrente,5,4,6,Pix,Sim,20.69,Sim
43,11/06/2025,Espumante Brut,Espumante,100,3,Site,Norte,Recorrente,5,4,3,Cartao de Credito,Nao,41.42,Sim
44,29/12/2025,Vinho Branco Chardonnay,Branco,161,2,Marketplace,Nordeste,Recorrente,30,5,3,Cartao de Credito,Sim,54.23,Sim
45,27/04/2026,Vinho Tinto Reserva,Tinto,174,1,WhatsApp,Sudeste,Recorrente,10,4,4,Cartao de Credito,Sim,19.93,Sim
46,09/02/2026,Cabernet Sauvignon,Tinto,157,3,Loja Fisica,Sul,Recorrente,5,5,2,Boleto,Nao,23.83,Sim
47,05/12/2025,Sauvignon Blanc,Branco,90,6,WhatsApp,Sudeste,Recorrente,15,5,10,Cartao de Credito,Sim,26.65,Sim
48,10/02/2026,Cabernet Sauvignon,Tinto,191,4,Site,Sul,Novo,5,5,1,Cartao de Credito,Sim,28.82,Sim
49,05/03/2025,Vinho Rose Premium,Rose,107,4,WhatsApp,Nordeste,Novo,0,3,6,Pix,Sim,46.55,Sim
50,22/10/2025,Sauvignon Blanc,Branco,171,3,Loja Fisica,Sul,Novo,5,3,1,Cartao de Debito,Nao,18.68,Sim
51,29/07/2025,Espumante Brut,Espumante,62,1,Site,Sudeste,Novo,30,4,7,Cartao de Debito,Nao,17.74,Nao
52,21/09/2025,Vinho Branco Chardonnay,Branco,111,2,WhatsApp,Nordeste,Recorrente,10,3,3,Cartao de Debito,Sim,52.79,Sim
53,04/03/2025,Prosecco Italiano,Espumante,168,2,Marketplace,Centro-Oeste,Recorrente,0,4,10,Pix,Nao,36.67,Nao
54,30/05/2025,Vinho Rose Premium,Rose,141,1,Site,Sudeste,Recorrente,0,5,5,Cartao de Credito,Nao,17.32,Sim
55,24/04/2026,Prosecco Italiano,Espumante,217,3,Site,Norte,Recorrente,20,5,3,Boleto,Sim,47.26,Sim
56,14/06/2025,Vinho Tinto Reserva,Tinto,222,3,WhatsApp,Sudeste,Novo,10,3,5,Pix,Sim,30.59,Nao
57,11/09/2025,Vinho Rose Premium,Rose,124,5,Loja Fisica,Nordeste,Recorrente,20,3,6,Boleto,Nao,39.46,Sim
58,23/06/2025,Merlot Selecionado,Tinto,212,2,Site,Sudeste,Recorrente,10,4,2,Pix,Nao,12.1,Sim
59,17/04/2026,Cabernet Sauvignon,Tinto,213,5,Site,Sudeste,Recorrente,15,5,1,Cartao de Credito,Nao,11.44,Sim
60,16/03/2025,Cabernet Sauvignon,Tinto,153,3,WhatsApp,Sudeste,Recorrente,25,1,7,Cartao de Credito,Sim,25.47,Sim
61,16/02/2026,Vinho Branco Chardonnay,Branco,146,6,Marketplace,Sudeste,Recorrente,0,4,3,Cartao de Credito,Sim,26.84,Sim
62,15/07/2025,Vinho Branco Chardonnay,Branco,221,8,Site,Norte,Recorrente,10,3,12,Boleto,Sim,56.63,Sim
63,02/02/2026,Espumante Brut,Espumante,190,2,Loja Fisica,Norte,Recorrente,30,5,6,Boleto,Nao,50.07,Sim
64,18/01/2025,Merlot Selecionado,Tinto,164,2,Marketplace,Nordeste,Recorrente,0,2,5,Cartao de Credito,Nao,47.1,Nao
65,29/04/2026,Cabernet Sauvignon,Tinto,197,2,Loja Fisica,Nordeste,Recorrente,5,4,3,Cartao de Credito,Nao,38.17,Sim
66,22/07/2025,Merlot Selecionado,Tinto,173,1,Marketplace,Sudeste,Recorrente,15,3,8,Pix,Sim,15.52,Sim
67,09/11/2025,Prosecco Italiano,Espumante,146,2,Site,Centro-Oeste,Novo,15,4,5,Cartao de Debito,Sim,43.78,Sim
68,10/12/2025,Prosecco Italiano,Espumante,216,2,Loja Fisica,Norte,Novo,10,2,9,Cartao de Credito,Sim,44.34,Nao
69,01/05/2025,Sauvignon Blanc,Branco,77,6,Marketplace,Nordeste,Recorrente,25,3,6,Cartao de Credito,Sim,35.28,Sim
70,11/01/2025,Merlot Selecionado,Tinto,59,2,Site,Sul,Novo,20,4,6,Pix,Nao,15.91,Sim
71,16/03/2025,Vinho Branco Chardonnay,Branco,145,5,Site,Centro-Oeste,Recorrente,5,5,7,Pix,Sim,28.72,Sim
72,02/02/2025,Vinho Branco Chardonnay,Branco,198,1,Site,Nordeste,Recorrente,0,3,2,Pix,Sim,52.23,Nao
73,07/08/2025,Cabernet Sauvignon,Tinto,143,3,Marketplace,Norte,Recorrente,5,4,1,Cartao de Debito,Nao,49.68,Sim
74,06/11/2025,Prosecco Italiano,Espumante,203,3,Loja Fisica,Sudeste,Recorrente,10,3,12,Pix,Sim,25.46,Nao
75,07/08/2025,Cabernet Sauvignon,Tinto,202,4,Marketplace,Sudeste,Recorrente,5,3,4,Cartao de Credito,Sim,14.73,Sim
76,10/12/2025,Vinho Branco Chardonnay,Branco,122,1,Loja Fisica,Sudeste,Recorrente,5,2,1,Cartao de Debito,Nao,15.63,Sim
77,08/07/2025,Sauvignon Blanc,Branco,170,7,Marketplace,Sudeste,Recorrente,0,4,2,Cartao de Credito,Nao,14.58,Sim
78,26/12/2025,Vinho Rose Premium,Rose,175,8,WhatsApp,Centro-Oeste,Recorrente,0,5,8,Cartao de Credito,Sim,19.54,Nao
79,09/07/2025,Merlot Selecionado,Tinto,236,3,Site,Sul,Recorrente,0,5,2,Cartao de Credito,Sim,22.62,Sim
80,26/06/2025,Cabernet Sauvignon,Tinto,185,4,Loja Fisica,Sul,Novo,10,4,4,Cartao de Credito,Nao,18.89,Sim
81,12/09/2025,Prosecco Italiano,Espumante,157,1,WhatsApp,Sul,Novo,25,5,7,Cartao de Credito,Sim,20.84,Sim
82,08/08/2025,Sauvignon Blanc,Branco,102,3,Marketplace,Sudeste,Novo,15,4,4,Cartao de Credito,Sim,22.82,Sim
83,25/07/2025,Sauvignon Blanc,Branco,119,7,Loja Fisica,Norte,Recorrente,15,3,4,Cartao de Credito,Sim,55.9,Sim
84,17/03/2025,Espumante Brut,Espumante,118,5,Loja Fisica,Centro-Oeste,Recorrente,0,5,3,Cartao de Debito,Nao,28.34,Sim
85,26/11/2025,Vinho Rose Premium,Rose,159,4,Loja Fisica,Norte,Recorrente,10,4,5,Pix,Nao,52.09,Sim
86,09/02/2025,Merlot Selecionado,Tinto,167,2,Site,Sudeste,Novo,10,3,4,Cartao de Credito,Nao,26.44,Nao
87,19/03/2025,Cabernet Sauvignon,Tinto,135,2,Site,Nordeste,Recorrente,10,5,5,Cartao de Credito,Nao,35.71,Sim
88,01/02/2026,Merlot Selecionado,Tinto,175,4,Loja Fisica,Nordeste,Recorrente,10,4,3,Cartao de Debito,Sim,41.63,Sim
89,29/06/2025,Merlot Selecionado,Tinto,175,4,Site,Nordeste,Recorrente,25,5,3,Pix,Sim,43.43,Sim
90,17/02/2025,Sauvignon Blanc,Branco,170,1,Site,Centro-Oeste,Novo,0,4,10,Cartao de Debito,Nao,43.1,Sim
91,04/10/2025,Merlot Selecionado,Tinto,191,7,Site,Nordeste,Novo,30,2,3,Boleto,Nao,42.79,Nao
92,06/07/2025,Vinho Tinto Reserva,Tinto,188,3,Marketplace,Sul,Novo,15,4,9,Pix,Sim,8.08,Sim
93,14/08/2025,Prosecco Italiano,Espumante,140,5,Loja Fisica,Sudeste,Recorrente,20,5,2,Pix,Nao,15.44,Sim
94,22/09/2025,Sauvignon Blanc,Branco,89,1,Loja Fisica,Centro-Oeste,Recorrente,0,4,3,Cartao de Debito,Nao,33.85,Sim
95,01/05/2025,Vinho Branco Chardonnay,Branco,127,1,Site,Norte,Novo,10,3,1,Cartao de Credito,Nao,65.19,Sim
96,18/08/2025,Vinho Rose Premium,Rose,235,5,Marketplace,Nordeste,Novo,5,5,6,Cartao de Credito,Nao,45.26,Nao
97,23/08/2025,Vinho Tinto Reserva,Tinto,226,3,Marketplace,Sudeste,Novo,5,3,1,Cartao de Credito,Nao,39.18,Nao
98,04/07/2025,Prosecco Italiano,Espumante,183,3,Loja Fisica,Sul,Novo,15,3,4,Pix,Sim,21.17,Sim
99,12/01/2026,Vinho Tinto Reserva,Tinto,196,3,WhatsApp,Sudeste,Novo,20,3,6,Pix,Nao,29.73,Sim
100,31/05/2025,Merlot Selecionado,Tinto,92,1,WhatsApp,Sudeste,Recorrente,15,5,1,Boleto,Sim,19.82,Sim
101,20/05/2025,Vinho Tinto Reserva,Tinto,216,2,WhatsApp,Sudeste,Novo,15,3,8,Cartao de Credito,Nao,30.32,Sim
102,05/11/2025,Sauvignon Blanc,Branco,126,2,WhatsApp,Sudeste,Recorrente,25,4,7,Pix,Sim,8.0,Sim
103,11/08/2025,Espumante Brut,Espumante,112,4,Site,Centro-Oeste,Novo,15,3,1,Cartao de Debito,Sim,36.95,Nao
104,03/02/2026,Vinho Tinto Reserva,Tinto,277,2,WhatsApp,Centro-Oeste,Recorrente,0,4,7,Cartao de Credito,Sim,39.18,Sim
105,12/01/2026,Vinho Tinto Reserva,Tinto,184,7,Site,Nordeste,Recorrente,10,3,5,Cartao de Credito,Sim,34.6,Sim
106,16/08/2025,Cabernet Sauvignon,Tinto,167,2,WhatsApp,Sudeste,Recorrente,10,2,8,Pix,Nao,30.2,Nao
107,13/04/2025,Merlot Selecionado,Tinto,130,3,Site,Sudeste,Novo,15,4,2,Cartao de Credito,Sim,13.06,Sim
108,29/01/2026,Prosecco Italiano,Espumante,237,2,WhatsApp,Centro-Oeste,Recorrente,0,3,12,Pix,Nao,35.67,Nao
109,12/04/2026,Vinho Branco Chardonnay,Branco,193,2,Marketplace,Sudeste,Recorrente,20,4,2,Cartao de Debito,Sim,22.02,Sim
110,17/11/2025,Vinho Branco Chardonnay,Branco,131,7,Loja Fisica,Norte,Recorrente,5,2,2,Cartao de Debito,Sim,52.48,Sim
111,30/01/2026,Vinho Branco Chardonnay,Branco,97,1,Marketplace,Norte,Novo,25,1,8,Cartao de Credito,Nao,42.25,Nao
112,22/03/2025,Sauvignon Blanc,Branco,122,6,Site,Centro-Oeste,Novo,5,5,4,Pix,Nao,32.66,Sim
113,04/03/2025,Vinho Rose Premium,Rose,138,6,Site,Norte,Novo,5,5,4,Cartao de Credito,Sim,51.76,Sim
114,21/09/2025,Cabernet Sauvignon,Tinto,256,6,Site,Norte,Recorrente,20,5,6,Cartao de Credito,Sim,54.03,Nao
115,02/10/2025,Prosecco Italiano,Espumante,280,3,WhatsApp,Sudeste,Novo,0,4,9,Pix,Nao,26.8,Sim
116,24/05/2025,Vinho Branco Chardonnay,Branco,184,4,Site,Sudeste,Recorrente,0,4,1,Pix,Nao,15.32,Sim
117,01/01/2026,Cabernet Sauvignon,Tinto,181,2,WhatsApp,Centro-Oeste,Novo,0,4,4,Cartao de Credito,Sim,36.61,Sim
118,08/09/2025,Prosecco Italiano,Espumante,237,1,WhatsApp,Sudeste,Novo,15,5,5,Pix,Nao,37.62,Sim
119,02/02/2026,Vinho Tinto Reserva,Tinto,190,8,Marketplace,Nordeste,Recorrente,15,1,4,Cartao de Debito,Nao,50.81,Sim
120,10/06/2025,Vinho Tinto Reserva,Tinto,209,3,Marketplace,Nordeste,Novo,15,1,10,Cartao de Credito,Sim,39.55,Nao
121,10/06/2025,Vinho Rose Premium,Rose,94,6,WhatsApp,Nordeste,Novo,0,3,3,Pix,Nao,49.38,Sim
122,02/06/2025,Merlot Selecionado,Tinto,104,6,Marketplace,Nordeste,Novo,10,5,3,Cartao de Credito,Nao,38.56,Sim
123,16/02/2026,Prosecco Italiano,Espumante,175,7,WhatsApp,Sudeste,Novo,15,3,12,Boleto,Nao,30.76,Sim
124,05/05/2025,Cabernet Sauvignon,Tinto,146,2,Site,Sudeste,Recorrente,25,4,2,Pix,Nao,31.11,Nao
125,26/03/2026,Vinho Rose Premium,Rose,141,2,Marketplace,Sul,Recorrente,0,4,10,Cartao de Credito,Nao,20.0,Nao
126,01/04/2025,Espumante Brut,Espumante,95,6,Loja Fisica,Centro-Oeste,Recorrente,15,5,9,Cartao de Credito,Nao,44.39,Sim
127,25/11/2025,Sauvignon Blanc,Branco,135,4,WhatsApp,Sudeste,Novo,5,4,10,Cartao de Credito,Sim,19.01,Sim
128,23/01/2026,Vinho Branco Chardonnay,Branco,164,1,Loja Fisica,Sul,Recorrente,5,3,6,Boleto,Nao,14.76,Sim
129,18/06/2025,Sauvignon Blanc,Branco,150,1,Marketplace,Sul,Novo,5,3,3,Cartao de Credito,Nao,13.48,Nao
130,24/11/2025,Vinho Tinto Reserva,Tinto,226,1,Marketplace,Sudeste,Novo,15,5,9,Boleto,Nao,31.53,Sim
131,07/05/2025,Vinho Rose Premium,Rose,153,1,Marketplace,Centro-Oeste,Novo,10,4,4,Pix,Sim,38.2,Sim
132,15/08/2025,Cabernet Sauvignon,Tinto,123,2,WhatsApp,Sul,Recorrente,25,3,4,Cartao de Credito,Nao,20.44,Sim
133,23/02/2026,Prosecco Italiano,Espumante,227,5,Site,Sudeste,Recorrente,0,4,7,Pix,Sim,29.17,Sim
134,09/01/2026,Cabernet Sauvignon,Tinto,203,1,WhatsApp,Norte,Novo,25,1,4,Boleto,Nao,50.06,Nao
135,07/03/2025,Sauvignon Blanc,Branco,59,2,Loja Fisica,Norte,Recorrente,0,5,2,Cartao de Debito,Sim,53.67,Sim
136,27/01/2026,Vinho Tinto Reserva,Tinto,233,2,Marketplace,Sudeste,Novo,5,4,2,Cartao de Credito,Nao,8.0,Nao
137,13/08/2025,Sauvignon Blanc,Branco,62,6,Loja Fisica,Sul,Recorrente,10,4,8,Cartao de Credito,Sim,9.59,Sim
138,24/09/2025,Vinho Tinto Reserva,Tinto,306,1,WhatsApp,Centro-Oeste,Recorrente,20,5,2,Cartao de Debito,Nao,53.57,Sim
139,23/12/2025,Vinho Tinto Reserva,Tinto,181,4,Loja Fisica,Centro-Oeste,Recorrente,0,3,5,Cartao de Credito,Nao,30.26,Sim
140,18/07/2025,Sauvignon Blanc,Branco,148,1,Loja Fisica,Nordeste,Novo,10,1,4,Cartao de Credito,Nao,51.1,Sim
141,06/01/2026,Cabernet Sauvignon,Tinto,234,1,Marketplace,Sul,Novo,15,4,8,Cartao de Credito,Nao,14.72,Sim
142,15/04/2025,Vinho Rose Premium,Rose,172,7,Loja Fisica,Norte,Recorrente,0,5,4,Cartao de Credito,Nao,42.74,Sim
143,14/04/2026,Merlot Selecionado,Tinto,165,3,Site,Sudeste,Recorrente,10,2,12,Pix,Nao,16.27,Sim
144,13/09/2025,Vinho Tinto Reserva,Tinto,204,1,Loja Fisica,Norte,Recorrente,10,2,3,Cartao de Credito,Nao,45.83,Nao
145,05/10/2025,Merlot Selecionado,Tinto,156,7,Marketplace,Sudeste,Novo,20,3,6,Pix,Nao,38.84,Nao
146,31/01/2025,Vinho Tinto Reserva,Tinto,237,5,Loja Fisica,Sul,Novo,15,2,2,Cartao de Credito,Sim,19.34,Nao
147,27/04/2026,Prosecco Italiano,Espumante,185,3,Site,Sul,Recorrente,10,3,4,Pix,Sim,20.8,Sim
148,03/06/2025,Cabernet Sauvignon,Tinto,141,3,Loja Fisica,Sudeste,Recorrente,0,5,4,Cartao de Credito,Nao,23.09,Nao
149,18/02/2025,Vinho Tinto Reserva,Tinto,260,3,Loja Fisica,Sul,Novo,10,4,7,Pix,Nao,26.33,Nao
150,11/06/2025,Vinho Rose Premium,Rose,167,6,Site,Sul,Novo,25,5,5,Cartao de Credito,Nao,37.63,Sim
151,13/03/2025,Vinho Branco Chardonnay,Branco,140,2,Loja Fisica,Sul,Novo,20,3,9,Cartao de Credito,Nao,9.37,Nao
152,20/05/2025,Cabernet Sauvignon,Tinto,66,1,Site,Nordeste,Novo,15,5,3,Boleto,Sim,41.89,Sim
153,31/12/2025,Vinho Rose Premium,Rose,93,2,Marketplace,Centro-Oeste,Novo,15,5,6,Cartao de Credito,Sim,48.99,Sim
154,14/01/2025,Sauvignon Blanc,Branco,122,1,Site,Sudeste,Novo,0,3,4,Pix,Sim,27.47,Sim
155,18/05/2025,Merlot Selecionado,Tinto,163,2,WhatsApp,Nordeste,Recorrente,30,3,4,Pix,Sim,41.05,Sim
156,04/01/2025,Cabernet Sauvignon,Tinto,184,2,WhatsApp,Sudeste,Recorrente,15,4,5,Pix,Sim,29.58,Sim
157,23/07/2025,Sauvignon Blanc,Branco,140,2,WhatsApp,Nordeste,Recorrente,0,3,10,Cartao de Credito,Sim,35.26,Sim
158,14/01/2025,Prosecco Italiano,Espumante,254,2,Site,Nordeste,Novo,25,3,12,Cartao de Credito,Nao,39.19,Nao
159,09/02/2026,Vinho Rose Premium,Rose,120,4,WhatsApp,Nordeste,Novo,10,4,3,Pix,Nao,44.5,Sim
160,25/02/2025,Prosecco Italiano,Espumante,148,6,WhatsApp,Sudeste,Novo,30,4,7,Pix,Nao,19.11,Sim
161,18/01/2026,Merlot Selecionado,Tinto,185,3,Marketplace,Centro-Oeste,Recorrente,5,5,2,Cartao de Credito,Sim,43.53,Sim
162,27/04/2026,Vinho Rose Premium,Rose,113,5,Marketplace,Sudeste,Novo,0,2,4,Cartao de Debito,Sim,26.66,Sim
163,28/11/2025,Merlot Selecionado,Tinto,134,3,Site,Sudeste,Recorrente,5,3,7,Cartao de Credito,Nao,25.51,Nao
164,29/03/2026,Vinho Rose Premium,Rose,101,2,Site,Sudeste,Recorrente,15,3,5,Cartao de Credito,Nao,22.98,Sim
165,10/12/2025,Sauvignon Blanc,Branco,155,2,Marketplace,Nordeste,Recorrente,20,4,3,Cartao de Credito,Sim,42.16,Sim
166,10/03/2025,Merlot Selecionado,Tinto,116,3,Site,Nordeste,Recorrente,20,4,3,Pix,Sim,35.71,Sim
167,12/10/2025,Cabernet Sauvignon,Tinto,193,3,Site,Sul,Novo,0,4,6,Pix,Nao,33.23,Sim
168,01/08/2025,Vinho Branco Chardonnay,Branco,123,1,Site,Sul,Novo,20,5,4,Pix,Nao,30.05,Sim
169,27/02/2025,Vinho Branco Chardonnay,Branco,147,4,Site,Sudeste,Recorrente,0,4,6,Boleto,Nao,24.99,Sim
170,15/05/2025,Merlot Selecionado,Tinto,97,4,Site,Sudeste,Novo,15,4,3,Cartao de Debito,Sim,20.49,Sim
171,21/02/2026,Prosecco Italiano,Espumante,202,5,Loja Fisica,Nordeste,Recorrente,20,4,4,Pix,Nao,39.01,Sim
172,20/01/2026,Merlot Selecionado,Tinto,109,1,WhatsApp,Sudeste,Recorrente,25,4,9,Boleto,Sim,21.83,Nao
173,01/08/2025,Espumante Brut,Espumante,132,6,Loja Fisica,Nordeste,Recorrente,15,4,4,Pix,Sim,38.91,Sim
174,22/11/2025,Cabernet Sauvignon,Tinto,117,4,WhatsApp,Sudeste,Recorrente,10,5,8,Cartao de Credito,Nao,31.63,Sim
175,03/04/2026,Cabernet Sauvignon,Tinto,180,7,WhatsApp,Sudeste,Novo,5,4,2,Boleto,Nao,16.27,Sim
176,04/06/2025,Cabernet Sauvignon,Tinto,118,1,WhatsApp,Sul,Recorrente,30,4,12,Cartao de Debito,Nao,11.15,Nao
177,18/02/2025,Espumante Brut,Espumante,149,1,Marketplace,Centro-Oeste,Novo,15,5,7,Pix,Sim,38.19,Sim
178,17/02/2026,Vinho Branco Chardonnay,Branco,101,2,Loja Fisica,Sudeste,Novo,20,4,4,Cartao de Credito,Sim,18.62,Sim
179,18/11/2025,Espumante Brut,Espumante,162,4,Loja Fisica,Norte,Novo,10,1,5,Pix,Nao,58.46,Nao
180,11/10/2025,Prosecco Italiano,Espumante,199,1,Marketplace,Centro-Oeste,Novo,30,3,2,Cartao de Credito,Sim,31.37,Nao
181,03/05/2025,Espumante Brut,Espumante,130,5,Marketplace,Sudeste,Recorrente,10,5,3,Cartao de Credito,Nao,11.95,Sim
182,30/08/2025,Prosecco Italiano,Espumante,180,6,Loja Fisica,Sudeste,Novo,5,5,4,Pix,Sim,21.66,Sim
183,24/11/2025,Vinho Tinto Reserva,Tinto,224,1,WhatsApp,Norte,Novo,5,4,7,Pix,Sim,47.3,Sim
184,12/08/2025,Espumante Brut,Espumante,132,6,WhatsApp,Sul,Novo,10,5,5,Pix,Sim,23.63,Sim
185,12/09/2025,Vinho Tinto Reserva,Tinto,232,1,Marketplace,Sul,Recorrente,15,3,1,Cartao de Credito,Sim,40.18,Sim
186,23/10/2025,Espumante Brut,Espumante,129,5,Loja Fisica,Norte,Recorrente,0,5,3,Cartao de Credito,Nao,51.61,Sim
187,07/01/2025,Merlot Selecionado,Tinto,230,1,Loja Fisica,Nordeste,Recorrente,15,2,6,Cartao de Credito,Nao,47.41,Sim
188,27/02/2026,Sauvignon Blanc,Branco,150,7,Loja Fisica,Nordeste,Recorrente,15,3,3,Cartao de Debito,Sim,39.59,Sim
189,13/04/2025,Vinho Tinto Reserva,Tinto,258,8,WhatsApp,Sul,Recorrente,5,5,3,Pix,Sim,35.05,Sim
190,27/06/2025,Vinho Rose Premium,Rose,99,3,WhatsApp,Sul,Recorrente,15,3,1,Cartao de Credito,Sim,24.41,Sim
191,31/12/2025,Vinho Tinto Reserva,Tinto,231,4,WhatsApp,Nordeste,Novo,10,3,4,Cartao de Credito,Nao,41.87,Sim
192,11/08/2025,Vinho Rose Premium,Rose,186,4,Site,Norte,Novo,0,2,7,Cartao de Credito,Nao,42.17,Sim
193,21/03/2025,Espumante Brut,Espumante,117,5,Marketplace,Nordeste,Novo,5,2,2,Boleto,Nao,48.94,Nao
194,21/01/2025,Merlot Selecionado,Tinto,120,7,Loja Fisica,Sudeste,Novo,0,2,6,Boleto,Nao,29.49,Nao
195,08/05/2025,Vinho Branco Chardonnay,Branco,163,2,Site,Centro-Oeste,Novo,30,1,4,Pix,Nao,37.28,Sim
